car,model_year,country,mileage,no_of_cylinders,displacement,hp,weight,acceleration,price
chevrolet chevelle malibu,1971,USA,17.0,6.0,250.0,100.0,3329.0,15.5,40000.0
ford torino 500,1971,USA,19.0,6.0,250.0,88.0,3302.0,15.5,30000.0
amc matador,1971,USA,18.0,6.0,232.0,100.0,3288.0,15.5,33970.66561
chevrolet impala,1971,USA,14.0,8.0,350.0,165.0,4209.0,12.0,40000.0
pontiac catalina brougham,1971,USA,14.0,8.0,400.0,175.0,4464.0,11.5,33793.72284
ford galaxie 500,1971,USA,14.0,8.0,351.0,153.0,4154.0,13.5,30000.0
plymouth fury iii,1971,USA,14.0,8.0,318.0,150.0,4096.0,13.0,15358.86347
dodge monaco (sw),1971,USA,12.0,8.0,383.0,180.0,4955.0,11.5,23414.4171
ford country squire (sw),1971,USA,13.0,8.0,400.0,170.0,4746.0,12.0,44211.91218
pontiac safari (sw),1971,USA,13.0,8.0,400.0,175.0,5140.0,12.0,20000.0
amc hornet sportabout (sw),1971,USA,18.0,6.0,258.0,110.0,2962.0,13.5,33328.42698
chevrolet vega (sw),1971,USA,22.0,4.0,140.0,72.0,2408.0,19.0,20000.0
pontiac firebird,1971,USA,19.0,6.0,250.0,100.0,3282.0,15.0,20000.0
ford mustang,1971,USA,18.0,6.0,250.0,88.0,3139.0,14.5,40000.0
mercury capri 2000,1971,USA,23.0,4.0,122.0,86.0,2220.0,14.0,27435.39589
opel 1900,1971,Europe,28.0,4.0,116.0,90.0,2123.0,14.0,20000.0
peugeot 304,1971,Europe,30.0,4.0,79.0,70.0,2074.0,19.5,36587.11859
fiat 124b,1971,Europe,30.0,4.0,88.0,76.0,2065.0,14.5,23790.82939
toyota corolla 1200,1971,Japan,31.0,4.0,71.0,65.0,1773.0,19.0,30000.0
datsun 1200,1971,Japan,35.0,4.0,72.0,69.0,1613.0,18.0,40000.0
volkswagen model 111,1971,Europe,27.0,4.0,97.0,60.0,1834.0,19.0,30000.0
plymouth cricket,1971,USA,26.0,4.0,91.0,70.0,1955.0,20.5,40000.0
toyota corona hardtop,1972,Japan,24.0,4.0,113.0,95.0,2278.0,15.5,40000.0
dodge colt hardtop,1972,USA,25.0,4.0,97.5,80.0,2126.0,17.0,20000.0
volkswagen type 3,1972,Europe,23.0,4.0,97.0,54.0,2254.0,23.5,26196.50504
chevrolet vega,1972,USA,20.0,4.0,140.0,90.0,2408.0,19.5,33019.20813
ford pinto runabout,1972,USA,21.0,4.0,122.0,86.0,2226.0,16.5,36453.30104
chevrolet impala,1972,USA,13.0,8.0,350.0,165.0,4274.0,12.0,40000.0
pontiac catalina,1972,USA,14.0,8.0,400.0,175.0,4385.0,12.0,26062.79358
plymouth fury iii,1972,USA,15.0,8.0,318.0,150.0,4135.0,13.5,34663.83946
ford galaxie 500,1972,USA,14.0,8.0,351.0,153.0,4129.0,13.0,20000.0
amc ambassador sst,1972,USA,17.0,8.0,304.0,150.0,3672.0,11.5,20000.0
mercury marquis,1972,USA,11.0,8.0,429.0,208.0,4633.0,11.0,16223.26834
buick lesabre custom,1972,USA,13.0,8.0,350.0,155.0,4502.0,13.5,5975.709529
oldsmobile delta 88 royale,1972,USA,12.0,8.0,350.0,160.0,4456.0,13.5,40000.0
chrysler newport royal,1972,USA,13.0,8.0,400.0,190.0,4422.0,12.5,33048.80117
mazda rx2 coupe,1972,Japan,19.0,3.0,70.0,97.0,2330.0,13.5,25558.0312
amc matador (sw),1972,USA,15.0,8.0,304.0,150.0,3892.0,12.5,1598.07337
chevrolet chevelle concours (sw),1972,USA,13.0,8.0,307.0,130.0,4098.0,14.0,20000.0
ford gran torino (sw),1972,USA,13.0,8.0,302.0,140.0,4294.0,16.0,30000.0
plymouth satellite custom (sw),1972,USA,14.0,8.0,318.0,150.0,4077.0,14.0,26693.71811
volvo 145e (sw),1972,Europe,18.0,4.0,121.0,112.0,2933.0,14.5,30000.0
volkswagen 411 (sw),1972,Europe,22.0,4.0,121.0,76.0,2511.0,18.0,40000.0
peugeot 504 (sw),1972,Europe,21.0,4.0,120.0,87.0,2979.0,19.5,16035.29706
renault 12 (sw),1972,Europe,26.0,4.0,96.0,69.0,2189.0,18.0,44239.24934
ford pinto (sw),1972,USA,22.0,4.0,122.0,86.0,2395.0,16.0,20000.0
datsun 510 (sw),1972,Japan,28.0,4.0,97.0,92.0,2288.0,17.0,36556.74415
toyouta corona mark ii (sw),1972,Japan,23.0,4.0,120.0,97.0,2506.0,14.5,30000.0
dodge colt (sw),1972,USA,28.0,4.0,98.0,80.0,2164.0,15.0,20000.0
toyota corolla 1600 (sw),1972,Japan,27.0,4.0,97.0,88.0,2100.0,16.5,35088.02866
buick century 350,1973,USA,13.0,8.0,350.0,175.0,4100.0,13.0,20000.0
amc matador,1973,USA,14.0,8.0,304.0,150.0,3672.0,11.5,30000.0
chevrolet malibu,1973,USA,13.0,8.0,350.0,145.0,3988.0,13.0,24364.52222
ford gran torino,1973,USA,14.0,8.0,302.0,137.0,4042.0,14.5,50306.15305
dodge coronet custom,1973,USA,15.0,8.0,318.0,150.0,3777.0,12.5,30000.0
mercury marquis brougham,1973,USA,12.0,8.0,429.0,198.0,4952.0,11.5,30000.0
chevrolet caprice classic,1973,USA,13.0,8.0,400.0,150.0,4464.0,12.0,35052.19209
ford ltd,1973,USA,13.0,8.0,351.0,158.0,4363.0,13.0,36489.40106
plymouth fury gran sedan,1973,USA,14.0,8.0,318.0,150.0,4237.0,14.5,53745.93806
chrysler new yorker brougham,1973,USA,13.0,8.0,440.0,215.0,4735.0,11.0,40000.0
buick electra 225 custom,1973,USA,12.0,8.0,455.0,225.0,4951.0,11.0,26260.63473
amc ambassador brougham,1973,USA,13.0,8.0,360.0,175.0,3821.0,11.0,40000.0
plymouth valiant,1973,USA,18.0,6.0,225.0,105.0,3121.0,16.5,23283.52468
chevrolet nova custom,1973,USA,16.0,6.0,250.0,100.0,3278.0,18.0,30000.0
amc hornet,1973,USA,18.0,6.0,232.0,100.0,2945.0,16.0,30000.0
ford maverick,1973,USA,18.0,6.0,250.0,88.0,3021.0,16.5,33726.80756
plymouth duster,1973,USA,23.0,6.0,198.0,95.0,2904.0,16.0,25211.02753
volkswagen super beetle,1973,Europe,26.0,4.0,97.0,46.0,1950.0,21.0,35994.52571
chevrolet impala,1973,USA,11.0,8.0,400.0,150.0,4997.0,14.0,24794.07439
ford country,1973,USA,12.0,8.0,400.0,167.0,4906.0,12.5,20000.0
plymouth custom suburb,1973,USA,13.0,8.0,360.0,170.0,4654.0,13.0,34078.91407
oldsmobile vista cruiser,1973,USA,12.0,8.0,350.0,180.0,4499.0,12.5,34538.97449
amc gremlin,1973,USA,18.0,6.0,232.0,100.0,2789.0,15.0,17410.01544
toyota carina,1973,Japan,20.0,4.0,97.0,88.0,2279.0,19.0,40000.0
chevrolet vega,1973,USA,21.0,4.0,140.0,72.0,2401.0,19.5,43478.05811
datsun 610,1973,Japan,22.0,4.0,108.0,94.0,2379.0,16.5,20000.0
maxda rx3,1973,Japan,18.0,3.0,70.0,90.0,2124.0,13.5,47897.3504
ford pinto,1973,USA,19.0,4.0,122.0,85.0,2310.0,18.5,40000.0
mercury capri v6,1973,USA,21.0,6.0,155.0,107.0,2472.0,14.0,30000.0
fiat 124 sport coupe,1973,Europe,26.0,4.0,98.0,90.0,2265.0,15.5,20000.0
chevrolet monte carlo s,1973,USA,15.0,8.0,350.0,145.0,4082.0,13.0,26355.63972
pontiac grand prix,1973,USA,16.0,8.0,400.0,230.0,4278.0,9.5,27104.01182
fiat 128,1973,Europe,29.0,4.0,68.0,49.0,1867.0,19.5,30000.0
opel manta,1973,Europe,24.0,4.0,116.0,75.0,2158.0,15.5,30000.0
audi 100ls,1973,Europe,20.0,4.0,114.0,91.0,2582.0,14.0,36717.9042
volvo 144ea,1973,Europe,19.0,4.0,121.0,112.0,2868.0,15.5,30000.0
dodge dart custom,1973,USA,15.0,8.0,318.0,150.0,3399.0,11.0,40000.0
saab 99le,1973,Europe,24.0,4.0,121.0,110.0,2660.0,14.0,30000.0
toyota mark ii,1973,Japan,20.0,6.0,156.0,122.0,2807.0,13.5,30000.0
oldsmobile omega,1973,USA,11.0,8.0,350.0,180.0,3664.0,11.0,9006.648949
plymouth duster,1974,USA,20.0,6.0,198.0,95.0,3102.0,16.5,20000.0
ford maverick,1974,USA,21.0,6.0,200.0,,2875.0,17.0,36836.73869
amc hornet,1974,USA,19.0,6.0,232.0,100.0,2901.0,16.0,30000.0
chevrolet nova,1974,USA,15.0,6.0,250.0,100.0,3336.0,17.0,34166.88994
datsun b210,1974,Japan,31.0,4.0,79.0,67.0,1950.0,19.0,30000.0
ford pinto,1974,USA,26.0,4.0,122.0,80.0,2451.0,16.5,40000.0
toyota corolla 1200,1974,Japan,32.0,4.0,71.0,65.0,1836.0,21.0,50430.44287
chevrolet vega,1974,USA,25.0,4.0,140.0,75.0,2542.0,17.0,30000.0
chevrolet chevelle malibu classic,1974,USA,16.0,6.0,250.0,100.0,3781.0,17.0,20000.0
amc matador,1974,USA,16.0,6.0,258.0,110.0,3632.0,18.0,35815.10738
plymouth satellite sebring,1974,USA,18.0,6.0,225.0,105.0,3613.0,16.5,30000.0
ford gran torino,1974,USA,16.0,8.0,302.0,140.0,4141.0,14.0,27027.84106
buick century luxus (sw),1974,USA,13.0,8.0,350.0,150.0,4699.0,14.5,20000.0
dodge coronet custom (sw),1974,USA,14.0,8.0,318.0,150.0,4457.0,13.5,30000.0
ford gran torino (sw),1974,USA,14.0,8.0,302.0,140.0,4638.0,16.0,43956.27279
amc matador (sw),1974,USA,14.0,8.0,304.0,150.0,4257.0,15.5,30000.0
audi fox,1974,Europe,29.0,4.0,98.0,83.0,2219.0,16.5,27392.70399
volkswagen dasher,1974,Europe,26.0,4.0,79.0,67.0,1963.0,15.5,40000.0
opel manta,1974,Europe,26.0,4.0,97.0,78.0,2300.0,14.5,10064.41815
toyota corona,1974,Japan,31.0,4.0,76.0,52.0,1649.0,16.5,20000.0
datsun 710,1974,Japan,32.0,4.0,83.0,61.0,2003.0,19.0,22599.02117
dodge colt,1974,USA,28.0,4.0,90.0,75.0,2125.0,14.5,30000.0
fiat 128,1974,Europe,24.0,4.0,90.0,75.0,2108.0,15.5,36359.77243
fiat 124 tc,1974,Europe,26.0,4.0,116.0,75.0,2246.0,14.0,24285.00304
honda civic,1974,Japan,24.0,4.0,120.0,97.0,2489.0,15.0,30000.0
subaru,1974,Japan,26.0,4.0,108.0,93.0,2391.0,15.5,26414.50827
fiat x1.9,1974,Europe,31.0,4.0,79.0,67.0,2000.0,16.0,8068.231747
plymouth valiant custom,1975,USA,19.0,6.0,225.0,95.0,3264.0,16.0,20000.0
chevrolet nova,1975,USA,18.0,6.0,250.0,105.0,3459.0,16.0,35725.20247
mercury monarch,1975,USA,15.0,6.0,250.0,72.0,3432.0,21.0,12388.96045
ford maverick,1975,USA,15.0,6.0,250.0,72.0,3158.0,19.5,30000.0
pontiac catalina,1975,USA,16.0,8.0,400.0,170.0,4668.0,11.5,40000.0
chevrolet bel air,1975,USA,15.0,8.0,350.0,145.0,4440.0,14.0,8844.146509
plymouth grand fury,1975,USA,16.0,8.0,318.0,150.0,4498.0,14.5,7250.279362
ford ltd,1975,USA,14.0,8.0,351.0,148.0,4657.0,13.5,40000.0
buick century,1975,USA,17.0,6.0,231.0,110.0,3907.0,21.0,43913.81789
chevroelt chevelle malibu,1975,USA,16.0,6.0,250.0,105.0,3897.0,18.5,16545.00951
amc matador,1975,USA,15.0,6.0,258.0,110.0,3730.0,19.0,25349.77729
plymouth fury,1975,USA,18.0,6.0,225.0,95.0,3785.0,19.0,30000.0
buick skyhawk,1975,USA,21.0,6.0,231.0,110.0,3039.0,15.0,34085.80564
chevrolet monza 2+2,1975,USA,20.0,8.0,262.0,110.0,3221.0,13.5,30000.0
ford mustang ii,1975,USA,13.0,8.0,302.0,129.0,3169.0,12.0,34458.38738
toyota corolla,1975,Japan,29.0,4.0,97.0,75.0,2171.0,16.0,30000.0
ford pinto,1975,USA,23.0,4.0,140.0,83.0,2639.0,17.0,16968.55626
amc gremlin,1975,USA,20.0,6.0,232.0,100.0,2914.0,16.0,22601.17848
pontiac astro,1975,USA,23.0,4.0,140.0,78.0,2592.0,18.5,30000.0
toyota corona,1975,Japan,24.0,4.0,134.0,96.0,2702.0,13.5,5579.395792
volkswagen dasher,1975,Europe,25.0,4.0,90.0,71.0,2223.0,16.5,34295.65704
datsun 710,1975,Japan,24.0,4.0,119.0,97.0,2545.0,17.0,24359.88558
ford pinto,1975,USA,18.0,6.0,171.0,97.0,2984.0,14.5,40000.0
volkswagen rabbit,1975,Europe,29.0,4.0,90.0,70.0,1937.0,14.0,23555.60639
amc pacer,1975,USA,19.0,6.0,232.0,90.0,3211.0,17.0,25780.19772
audi 100ls,1975,Europe,23.0,4.0,115.0,95.0,2694.0,15.0,16577.46275
peugeot 504,1975,Europe,23.0,4.0,120.0,88.0,2957.0,17.0,30000.0
volvo 244dl,1975,Europe,22.0,4.0,121.0,98.0,2945.0,14.5,40000.0
saab 99le,1975,Europe,25.0,4.0,121.0,115.0,2671.0,13.5,17080.97861
honda civic cvcc,1975,Japan,33.0,4.0,91.0,53.0,1795.0,17.5,25436.92235
fiat 131,1976,Europe,28.0,4.0,107.0,86.0,2464.0,15.5,37495.99581
opel 1900,1976,Europe,25.0,4.0,116.0,81.0,2220.0,16.9,23325.54657
capri ii,1976,USA,25.0,4.0,140.0,92.0,2572.0,14.9,30000.0
dodge colt,1976,USA,26.0,4.0,98.0,79.0,2255.0,17.7,33128.29366
renault 12tl,1976,Europe,27.0,4.0,101.0,83.0,2202.0,15.3,30000.0
chevrolet chevelle malibu classic,1976,USA,17.5,8.0,305.0,140.0,4215.0,13.0,25546.68687
dodge coronet brougham,1976,USA,16.0,8.0,318.0,150.0,4190.0,13.0,20000.0
amc matador,1976,USA,15.5,8.0,304.0,120.0,3962.0,13.9,20000.0
ford gran torino,1976,USA,14.5,8.0,351.0,152.0,4215.0,12.8,47075.03525
plymouth valiant,1976,USA,22.0,6.0,225.0,100.0,3233.0,15.4,40000.0
chevrolet nova,1976,USA,22.0,6.0,250.0,105.0,3353.0,14.5,44633.99433
ford maverick,1976,USA,24.0,6.0,200.0,81.0,3012.0,17.6,50179.77946
amc hornet,1976,USA,22.5,6.0,232.0,90.0,3085.0,17.6,13136.84754
chevrolet chevette,1976,USA,29.0,4.0,85.0,52.0,2035.0,22.2,40000.0
chevrolet woody,1976,USA,24.5,4.0,98.0,60.0,2164.0,22.1,30000.0
vw rabbit,1976,Europe,29.0,4.0,90.0,70.0,1937.0,14.2,20000.0
honda civic,1976,Japan,33.0,4.0,91.0,53.0,1795.0,17.4,40000.0
dodge aspen se,1976,USA,20.0,6.0,225.0,100.0,3651.0,17.7,30000.0
ford granada ghia,1976,USA,18.0,6.0,250.0,78.0,3574.0,21.0,26411.47262
pontiac ventura sj,1976,USA,18.5,6.0,250.0,110.0,3645.0,16.2,26090.2785
amc pacer d/l,1976,USA,17.5,6.0,258.0,95.0,3193.0,17.8,30000.0
volkswagen rabbit,1976,Europe,29.5,4.0,97.0,71.0,1825.0,12.2,23640.67856
datsun b-210,1976,Japan,32.0,4.0,85.0,70.0,1990.0,17.0,34072.29922
toyota corolla,1976,Japan,28.0,4.0,97.0,75.0,2155.0,16.4,22682.07397
ford pinto,1976,USA,26.5,4.0,140.0,72.0,2565.0,13.6,40000.0
volvo 245,1976,Europe,20.0,4.0,130.0,102.0,3150.0,15.7,40000.0
plymouth volare premier v8,1976,USA,13.0,8.0,318.0,150.0,3940.0,13.2,22781.28062
peugeot 504,1976,Europe,19.0,4.0,120.0,88.0,3270.0,21.9,26121.73551
toyota mark ii,1976,Japan,19.0,6.0,156.0,108.0,2930.0,15.5,14501.04894
mercedes-benz 280s,1976,Europe,16.5,6.0,168.0,120.0,3820.0,16.7,24937.67586
cadillac seville,1976,USA,16.5,8.0,350.0,180.0,4380.0,12.1,16557.22502
chevy c10,1976,USA,13.0,8.0,350.0,145.0,4055.0,12.0,30000.0
ford f108,1976,USA,13.0,8.0,302.0,130.0,3870.0,15.0,20000.0
dodge d100,1976,USA,13.0,8.0,318.0,150.0,3755.0,14.0,20000.0
honda accord cvcc,1977,Japan,31.5,4.0,98.0,68.0,2045.0,18.5,16288.27844
buick opel isuzu deluxe,1977,USA,30.0,4.0,111.0,80.0,2155.0,14.8,25530.81022
renault 5 gtl,1977,Europe,36.0,4.0,79.0,58.0,1825.0,18.6,20000.0
plymouth arrow gs,1977,USA,25.5,4.0,122.0,96.0,2300.0,15.5,30000.0
datsun f-10 hatchback,1977,Japan,33.5,4.0,85.0,70.0,1945.0,16.8,30000.0
chevrolet caprice classic,1977,USA,17.5,8.0,305.0,145.0,3880.0,12.5,30000.0
oldsmobile cutlass supreme,1977,USA,17.0,8.0,260.0,110.0,4060.0,19.0,30000.0
dodge monaco brougham,1977,USA,15.5,8.0,318.0,145.0,4140.0,13.7,40000.0
mercury cougar brougham,1977,USA,15.0,8.0,302.0,130.0,4295.0,14.9,20000.0
chevrolet concours,1977,USA,17.5,6.0,250.0,110.0,3520.0,16.4,20000.0
buick skylark,1977,USA,20.5,6.0,231.0,105.0,3425.0,16.9,30000.0
plymouth volare custom,1977,USA,19.0,6.0,225.0,100.0,3630.0,17.7,26631.00577
ford granada,1977,USA,18.5,6.0,250.0,98.0,3525.0,19.0,36453.91629
pontiac grand prix lj,1977,USA,16.0,8.0,400.0,180.0,4220.0,11.1,16330.96319
chevrolet monte carlo landau,1977,USA,15.5,8.0,350.0,170.0,4165.0,11.4,40000.0
chrysler cordoba,1977,USA,15.5,8.0,400.0,190.0,4325.0,12.2,20000.0
ford thunderbird,1977,USA,16.0,8.0,351.0,149.0,4335.0,14.5,40000.0
volkswagen rabbit custom,1977,Europe,29.0,4.0,97.0,78.0,1940.0,14.5,44398.38956
pontiac sunbird coupe,1977,USA,24.5,4.0,151.0,88.0,2740.0,16.0,22768.36337
toyota corolla liftback,1977,Japan,26.0,4.0,97.0,75.0,2265.0,18.2,24051.71225
ford mustang ii 2+2,1977,USA,25.5,4.0,140.0,89.0,2755.0,15.8,30000.0
chevrolet chevette,1977,USA,30.5,4.0,98.0,63.0,2051.0,17.0,40000.0
dodge colt m/m,1977,USA,33.5,4.0,98.0,83.0,2075.0,15.9,36578.74535
subaru dl,1977,Japan,30.0,4.0,97.0,67.0,1985.0,16.4,32735.65751
volkswagen dasher,1977,Europe,30.5,4.0,97.0,78.0,2190.0,14.1,20000.0
datsun 810,1977,Japan,22.0,6.0,146.0,97.0,2815.0,14.5,42883.25641
bmw 320i,1977,Europe,21.5,4.0,121.0,110.0,2600.0,12.8,23927.44248
mazda rx-4,1977,Japan,21.5,3.0,80.0,110.0,2720.0,13.5,23761.78388
volkswagen rabbit custom diesel,1978,Europe,43.1,4.0,90.0,48.0,1985.0,21.5,30000.0
ford fiesta,1978,USA,36.1,4.0,98.0,66.0,1800.0,14.4,30000.0
mazda glc deluxe,1978,Japan,32.8,4.0,78.0,52.0,1985.0,19.4,32914.19287
datsun b210 gx,1978,Japan,39.4,4.0,85.0,70.0,2070.0,18.6,40000.0
honda civic cvcc,1978,Japan,36.1,4.0,91.0,60.0,1800.0,16.4,30000.0
oldsmobile cutlass salon brougham,1978,USA,19.9,8.0,260.0,110.0,3365.0,15.5,30000.0
dodge diplomat,1978,USA,19.4,8.0,318.0,140.0,3735.0,13.2,40000.0
mercury monarch ghia,1978,USA,20.2,8.0,302.0,139.0,3570.0,12.8,34088.83024
pontiac phoenix lj,1978,USA,19.2,6.0,231.0,105.0,3535.0,19.2,30000.0
chevrolet malibu,1978,USA,20.5,6.0,200.0,95.0,3155.0,18.2,20000.0
ford fairmont (auto),1978,USA,20.2,6.0,200.0,85.0,2965.0,15.8,30000.0
ford fairmont (man),1978,USA,25.1,4.0,140.0,88.0,2720.0,15.4,40000.0
plymouth volare,1978,USA,20.5,6.0,225.0,100.0,3430.0,17.2,30000.0
amc concord,1978,USA,19.4,6.0,232.0,90.0,3210.0,17.2,30000.0
buick century special,1978,USA,20.6,6.0,231.0,105.0,3380.0,15.8,40000.0
mercury zephyr,1978,USA,20.8,6.0,200.0,85.0,3070.0,16.7,33560.68798
dodge aspen,1978,USA,18.6,6.0,225.0,110.0,3620.0,18.7,33043.99134
amc concord d/l,1978,USA,18.1,6.0,258.0,120.0,3410.0,15.1,25625.9722
chevrolet monte carlo landau,1978,USA,19.2,8.0,305.0,145.0,3425.0,13.2,50024.68887
buick regal sport coupe (turbo),1978,USA,17.7,6.0,231.0,165.0,3445.0,13.4,20000.0
ford futura,1978,USA,18.1,8.0,302.0,139.0,3205.0,11.2,35375.46418
dodge magnum xe,1978,USA,17.5,8.0,318.0,140.0,4080.0,13.7,26331.12328
chevrolet chevette,1978,USA,30.0,4.0,98.0,68.0,2155.0,16.5,49295.84839
toyota corona,1978,Japan,27.5,4.0,134.0,95.0,2560.0,14.2,30000.0
datsun 510,1978,Japan,27.2,4.0,119.0,97.0,2300.0,14.7,35110.41972
dodge omni,1978,USA,30.9,4.0,105.0,75.0,2230.0,14.5,24166.91123
toyota celica gt liftback,1978,Japan,21.1,4.0,134.0,95.0,2515.0,14.8,14511.79472
plymouth sapporo,1978,USA,23.2,4.0,156.0,105.0,2745.0,16.7,36338.23478
oldsmobile starfire sx,1978,USA,23.8,4.0,151.0,85.0,2855.0,17.6,30000.0
datsun 200-sx,1978,Japan,23.9,4.0,119.0,97.0,2405.0,14.9,47709.82064
audi 5000,1978,Europe,20.3,5.0,131.0,103.0,2830.0,15.9,43261.82962
volvo 264gl,1978,Europe,17.0,6.0,163.0,125.0,3140.0,13.6,44815.87905
saab 99gle,1978,Europe,21.6,4.0,121.0,115.0,2795.0,15.7,47597.90265
peugeot 604sl,1978,Europe,16.2,6.0,163.0,133.0,3410.0,15.8,23051.89547
volkswagen scirocco,1978,Europe,31.5,4.0,89.0,71.0,1990.0,14.9,30000.0
honda accord lx,1978,Japan,29.5,4.0,98.0,68.0,2135.0,16.6,20000.0
pontiac lemans v6,1979,USA,21.5,6.0,231.0,115.0,3245.0,15.4,20000.0
mercury zephyr 6,1979,USA,19.8,6.0,200.0,85.0,2990.0,18.2,37443.85589
ford fairmont 4,1979,USA,22.3,4.0,140.0,88.0,2890.0,17.3,20000.0
amc concord dl 6,1979,USA,20.2,6.0,232.0,90.0,3265.0,18.2,12840.57863
dodge aspen 6,1979,USA,20.6,6.0,225.0,110.0,3360.0,16.6,26927.11569
chevrolet caprice classic,1979,USA,17.0,8.0,305.0,130.0,3840.0,15.4,30000.0
ford ltd landau,1979,USA,17.6,8.0,302.0,129.0,3725.0,13.4,52480.06755
mercury grand marquis,1979,USA,16.5,8.0,351.0,138.0,3955.0,13.2,13073.58541
dodge st. regis,1979,USA,18.2,8.0,318.0,135.0,3830.0,15.2,8766.444652
buick estate wagon (sw),1979,USA,16.9,8.0,350.0,155.0,4360.0,14.9,24606.12234
ford country squire (sw),1979,USA,15.5,8.0,351.0,142.0,4054.0,14.3,25696.08888
chevrolet malibu classic (sw),1979,USA,19.2,8.0,267.0,125.0,3605.0,15.0,26157.23515
chrysler lebaron town @ country (sw),1979,USA,18.5,8.0,360.0,150.0,3940.0,13.0,14944.48848
vw rabbit custom,1979,Europe,31.9,4.0,89.0,71.0,1925.0,14.0,40000.0
maxda glc deluxe,1979,Japan,34.1,4.0,86.0,65.0,1975.0,15.2,20000.0
dodge colt hatchback custom,1979,USA,35.7,4.0,98.0,80.0,1915.0,14.4,44271.59324
amc spirit dl,1979,USA,27.4,4.0,121.0,80.0,2670.0,15.0,40000.0
mercedes benz 300d,1979,Europe,25.4,5.0,183.0,77.0,3530.0,20.1,20000.0
cadillac eldorado,1979,USA,23.0,8.0,350.0,125.0,3900.0,17.4,44274.40748
peugeot 504,1979,Europe,27.2,4.0,141.0,71.0,3190.0,24.8,24639.37404
oldsmobile cutlass salon brougham,1979,USA,23.9,8.0,260.0,90.0,3420.0,22.2,33062.12043
plymouth horizon,1979,USA,34.2,4.0,105.0,70.0,2200.0,13.2,30000.0
plymouth horizon tc3,1979,USA,34.5,4.0,105.0,70.0,2150.0,14.9,22906.70081
datsun 210,1979,Japan,31.8,4.0,85.0,65.0,2020.0,19.2,30000.0
fiat strada custom,1979,Europe,37.3,4.0,91.0,69.0,2130.0,14.7,30000.0
buick skylark limited,1979,USA,28.4,4.0,151.0,90.0,2670.0,16.0,33322.52047
